doy,weekday,time,Montreal Net Radiation - CWTA (W/m2),Montreal Relative Humidity - CWTA,Montreal Temperature - CWTA (C),Montreal Wind Speed - CWTA (km/h),Real Power Demand - Downtown Main Entrance (kW)
170,0,780,271,0.67,18.6,4,20670.2
170,0,795,307.0,0.6575,18.975,3.5,20908.976
170,0,810,343.0,0.645,19.35,3.0,21097.521
170,0,825,379.0,0.6325000000000001,19.725,2.5,21177.393
170,0,840,415,0.62,20.1,2,21302.315
170,0,855,434.0,0.6125,20.175,3.0,21462.118
170,0,870,453.0,0.605,20.25,4.0,21688.764
170,0,885,472.0,0.5974999999999999,20.325,5.0,21803.499
170,0,900,491,0.59,20.4,6,21701.781
170,0,915,500.25,0.5375,20.799999999999997,6.75,21772.078
170,0,930,509.5,0.485,21.2,7.5,21795.055
170,0,945,518.75,0.4325,21.6,8.25,21734.4889999999
170,0,960,528,0.38,22,9,21649.6969999999
170,0,975,563.75,0.38,22.0,8.5,21609.543
170,0,990,599.5,0.38,22.0,8.0,21598.107
170,0,1005,635.25,0.38,22.0,7.5,21603.8279999999
170,0,1020,671,0.38,22,7,21527.438
170,0,1035,678.25,0.4275,22.075,7.5,21685.956
170,0,1050,685.5,0.475,22.15,8.0,21728.301
170,0,1065,692.75,0.5225,22.225,8.5,21893.5219999999
170,0,1080,700,0.57,22.3,9,21824.196
170,0,1095,690.75,0.51,22.475,8.5,21836.718
170,0,1110,681.5,0.44999999999999996,22.65,8.0,21813.423
170,0,1125,672.25,0.39,22.825,7.5,21844.093
170,0,1140,663,0.33,23,7,21814.0959999999
170,0,1155,643.5,0.3875,23.05,6.25,21857.543
170,0,1170,624.0,0.44500000000000006,23.1,5.5,21750.675
170,0,1185,604.5,0.5025000000000001,23.15,4.75,21764.0799999999
170,0,1200,585,0.56,23.2,4,21759.4349999999
170,0,1215,562.25,0.5650000000000001,23.075,4.5,21567.764
170,0,1230,539.5,0.5700000000000001,22.95,5.0,21451.7379999999
170,0,1245,516.75,0.575,22.825,5.5,21253.266
170,0,1260,494,0.58,22.7,6,20988.763
170,0,1275,450.25,0.595,22.6,5.5,20828.664
170,0,1290,406.5,0.61,22.5,5.0,20572.081
170,0,1305,362.75,0.625,22.4,4.5,20716.7349999999
170,0,1320,319,0.64,22.3,4,20440.091
170,0,1335,288.0,0.6675,22.125,4.0,20181.193
170,0,1350,257.0,0.6950000000000001,21.950000000000003,4.0,20009.7539999999
170,0,1365,226.0,0.7225,21.775000000000002,4.0,19673.694
170,0,1380,195,0.75,21.6,4,19515.587
170,0,1395,165.75,0.6525,22.200000000000003,4.0,19329.156
170,0,1410,136.5,0.5549999999999999,22.8,4.0,19356.708
170,0,1425,107.25,0.4575,23.4,4.0,19178.509
171,1,0,78,0.36,24,4,19066.732
171,1,15,55.5,0.4675,22.15,4.0,18982.725
171,1,30,33.0,0.575,20.3,4.0,19059.242
171,1,45,10.5,0.6825,18.450000000000003,4.0,18766.995
171,1,60,-12,0.79,16.6,4,18275.5969999999
171,1,75,-15.5,0.785,16.6,4.0,18261.027
171,1,90,-19.0,0.78,16.6,4.0,18255.29
171,1,105,-22.5,0.775,16.6,4.0,18150.468
171,1,120,-26,0.77,16.6,4,17755.634
171,1,135,-24.5,0.775,16.325000000000003,3.5,17357.83
171,1,150,-23.0,0.78,16.05,3.0,17559.578
171,1,165,-21.5,0.785,15.775,2.5,17667.261
171,1,180,-20,0.79,15.5,2,17293.084
171,1,195,-21.25,0.7925,15.425,1.5,17130.487
171,1,210,-22.5,0.795,15.35,1.0,17052.761
171,1,225,-23.75,0.7975000000000001,15.274999999999999,0.5,16842.736
171,1,240,-25,0.8,15.2,0,16430.533
171,1,255,-23.5,0.8,15.125,0.0,16436.053
171,1,270,-22.0,0.8,15.05,0.0,16359.434
171,1,285,-20.5,0.8,14.975,0.0,16293.95
171,1,300,-19,0.8,14.9,0,16130.0339999999
171,1,315,-19.0,0.8,14.85,0.0,16020.986
171,1,330,-19.0,0.8,14.8,0.0,15884.335
171,1,345,-19.0,0.8,14.75,0.0,15904.336
171,1,360,-19,0.8,14.7,0,16267.356
171,1,375,-18.5,0.8025,14.674999999999999,0.5,15293.5749999999
171,1,390,-18.0,0.805,14.649999999999999,1.0,14936.288
171,1,405,-17.5,0.8075000000000001,14.625,1.5,15015.2709999999
171,1,420,-17,0.81,14.6,2,14995.72
171,1,435,-16.75,0.805,14.625,2.0,14978.729
171,1,450,-16.5,0.8,14.649999999999999,2.0,15317.907
171,1,465,-16.25,0.795,14.674999999999999,2.0,15139.728
171,1,480,-16,0.79,14.7,2,14933.801
171,1,495,-20.5,0.79,14.649999999999999,2.5,14835.914
171,1,510,-25.0,0.79,14.6,3.0,14966.6989999999
171,1,525,-29.5,0.79,14.55,3.5,14962.907
171,1,540,-34,0.79,14.5,4,14929.711
171,1,555,-49.0,0.8,14.575,4.0,15154.698
171,1,570,-64.0,0.81,14.65,4.0,15019.303
171,1,585,-79.0,0.82,14.725000000000001,4.0,15334.3539999999
171,1,600,-94,0.83,14.8,4,16504.701
171,1,615,-72.5,0.8175,15.275,4.0,17450.2569999999
171,1,630,-51.0,0.8049999999999999,15.75,4.0,17864.84
171,1,645,-29.5,0.7925,16.225,4.0,18077.269
171,1,660,-8,0.78,16.7,4,18381.344
171,1,675,24.0,0.745,17.025,4.75,18673.6679999999
171,1,690,56.0,0.71,17.35,5.5,18689.466
171,1,705,88.0,0.675,17.675,6.25,18913.633
